2 Piani;5 Piani;4 Piani;12 Piani;9 Piani;6 Piani;1 Piano;8 Piani;10 Piani;Provincia;Sigla provincia;Comune;3 Piani;Totale;N/D;Oltre 12 Piani;7 Piani;11 Piani;Regione;
1;0;3;0;0;0;3;0;0;MASSA-CARRARA;;Aulla;1;8;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Bagnone;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Carrara;0;0;0;0;0;0;Toscana;
288;7;93;0;0;0;43;0;0;MASSA-CARRARA;;Casola in Lunigiana;402;849;0;0;2;0;Toscana;
0;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Comano;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Filattiera;0;0;0;0;0;0;Toscana;
454;45;248;0;0;3;55;0;0;MASSA-CARRARA;;Fivizzano;699;1;0;513;0;0;0;Toscana
13;0;11;0;0;1;0;0;0;MASSA-CARRARA;;Fosdinovo;37;62;0;0;0;0;Toscana;
4;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Licciana Nardi;4;8;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Massa;0;0;0;0;0;0;Toscana;
1;0;2;0;0;0;0;0;0;MASSA-CARRARA;;Mulazzo;0;3;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Pontremoli;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Tresana;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;MASSA-CARRARA;;Villafranca in Lunigiana;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Bagni di Lucca;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Barga;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Borgo a Mozzano;0;0;0;0;0;0;Toscana;
5;0;0;0;0;0;0;0;0;LUCCA;;Camporgiano;5;10;0;0;0;0;Toscana;
1;1;6;0;0;0;1;0;0;LUCCA;;Careggine;6;15;0;0;0;0;Toscana;
4;0;0;0;0;0;2;0;0;LUCCA;;Castelnuovo di Garfagnana;4;10;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Castiglione di Garfagnana;1;1;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Coreglia Antelminelli;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Fabbriche di Vallico;0;0;0;0;0;0;Toscana;
2;0;0;0;0;0;0;0;0;LUCCA;;Fosciandora;1;3;0;0;0;0;Toscana;
5;0;2;0;0;0;0;0;0;LUCCA;;Gallicano;5;12;0;0;0;0;Toscana;
53;0;7;0;0;0;16;0;0;LUCCA;;Giuncugnano;34;111;0;0;0;0;Toscana;
154;3;26;0;0;0;24;0;0;LUCCA;;Minucciano;170;378;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Molazzana;0;0;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Pescaglia;0;0;0;0;0;0;Toscana;
27;1;8;0;0;0;0;0;0;LUCCA;;Piazza al Serchio;37;73;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Pieve Fosciana;0;0;0;0;0;0;Toscana;
1;0;1;0;0;0;2;0;0;LUCCA;;San Romano in Garfagnana;5;9;0;0;0;0;Toscana;
49;3;17;0;0;0;3;0;0;LUCCA;;Sillano;53;125;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Stazzema;0;0;0;0;0;0;Toscana;
1;0;3;0;0;0;1;0;0;LUCCA;;Vagli Sotto;6;11;0;0;0;0;Toscana;
0;0;0;0;0;0;0;0;0;LUCCA;;Vergemoli;0;0;0;0;0;0;Toscana;
3;0;0;0;0;0;0;0;0;LUCCA;;Villa Collemandina;2;5;0;0;0;0;Toscana;
