"2 Piani";"5 Piani";"4 Piani";"12 Piani";"9 Piani";"6 Piani";"1 Piano";"8 Piani";"10 Piani";"Provincia";"Sigla provincia";"Comune";"3 Piani";"Totale";"N/D";"Oltre 12 Piani";"7 Piani";"11 Piani";"Regione";
1;0;2;0;0;0;3;0;0;"MASSA-CARRARA";"MS";"Aulla";0;6;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Bagnone";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Carrara";0;0;0;0;0;0;"Toscana";
126;2;64;0;0;0;19;0;0;"MASSA-CARRARA";"MS";"Casola in Lunigiana";211;422;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Comano";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Filattiera";0;0;0;0;0;0;"Toscana";
197;18;101;0;0;3;31;0;0;"MASSA-CARRARA";"MS";"Fivizzano";276;626;0;0;0;0;"Toscana";
6;0;5;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Fosdinovo";12;23;0;0;0;0;"Toscana";
3;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Licciana Nardi";0;3;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Massa";0;0;0;0;0;0;"Toscana";
1;0;1;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Mulazzo";0;2;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Pontremoli";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Tresana";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"MASSA-CARRARA";"MS";"Villafranca in Lunigiana";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Bagni di Lucca";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Barga";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Borgo a Mozzano";0;0;0;0;0;0;"Toscana";
2;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Camporgiano";0;2;0;0;0;0;"Toscana";
1;1;0;0;0;0;1;0;0;"LUCCA";"LU";"Careggine";4;7;0;0;0;0;"Toscana";
3;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Castelnuovo di Garfagnana";2;5;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Castiglione di Garfagnana";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Coreglia Antelminelli";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Fabbriche di Vallico";0;0;0;0;0;0;"Toscana";
2;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Fosciandora";0;2;0;0;0;0;"Toscana";
4;0;1;0;0;0;0;0;0;"LUCCA";"LU";"Gallicano";4;9;0;0;0;0;"Toscana";
11;0;1;0;0;0;7;0;0;"LUCCA";"LU";"Giuncugnano";10;29;0;0;0;0;"Toscana";
53;1;8;0;0;0;6;0;0;"LUCCA";"LU";"Minucciano";56;124;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Molazzana";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Pescaglia";0;0;0;0;0;0;"Toscana";
6;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Piazza al Serchio";11;17;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Pieve Fosciana";0;0;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"San Romano in Garfagnana";3;3;0;0;0;0;"Toscana";
17;0;2;0;0;0;2;0;0;"LUCCA";"LU";"Sillano";14;35;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Stazzema";0;0;0;0;0;0;"Toscana";
1;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Vagli Sotto";1;2;0;0;0;0;"Toscana";
0;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Vergemoli";0;0;0;0;0;0;"Toscana";
3;0;0;0;0;0;0;0;0;"LUCCA";"LU";"Villa Collemandina";2;5;0;0;0;0;"Toscana";
